,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
68,68,674,2,236,42,794,287,14,1027,55,1170,916,516,1153,349,224,448,998,1335,1177
69,69,505,415,1232,635,724,973,106,1122,363,1213,786,967,123,26,21,1217,1333,937,261
70,70,2,224,23,1334,537,41,904,751,844,51,42,27,674,448,236,998,681,1170,703
71,71,505,1161,657,1077,700,69,777,1028,973,1265,334,494,1478,166,421,123,60,337,1018
72,72,674,55,358,42,51,1105,12,1295,687,909,728,656,73,1177,678,670,1002,990,387
73,73,42,701,27,909,1104,1300,794,2,236,349,670,916,537,613,879,1105,1076,224,1113
74,74,1234,1077,828,231,398,253,1003,498,13,132,973,1466,215,777,133,1074,1165,560,814
75,75,1091,1077,214,13,1459,929,880,253,659,250,299,1379,464,804,183,832,848,1171,560
76,76,42,990,27,1104,125,344,349,1037,591,670,23,268,1177,2,844,62,86,537,17
77,77,42,881,224,679,248,287,627,1260,236,193,1154,73,1476,1098,1335,24,82,1093,998
78,78,25,73,42,125,990,27,371,380,76,170,89,613,537,701,1283,604,591,258,1037
79,79,25,604,27,877,49,990,865,445,565,675,783,538,997,606,312,522,1105,734,678
80,80,604,1037,27,879,537,1166,258,1136,591,865,73,39,936,538,344,357,914,812,42
81,81,224,42,287,699,212,1335,222,830,17,236,27,1104,904,1163,990,909,858,73,991
82,82,42,224,33,613,184,2,73,701,77,670,904,291,211,27,1221,23,732,1177,358
83,83,29,879,377,504,839,1107,27,642,898,536,921,1105,9,51,731,674,1001,1093,613
84,84,537,879,844,2,606,73,1037,27,42,82,734,613,1334,1300,184,33,39,936,681
85,85,42,55,537,2,27,224,909,756,73,670,916,936,990,163,96,62,236,794,703
86,86,2,844,909,606,1250,1191,33,997,751,42,914,27,1152,537,23,1188,1334,49,349
87,144,530,524,702,425,650,468,506,1198,851,716,65,175,180,466,500,513,87,101,872
88,88,42,1177,1104,236,27,2,73,670,844,909,211,918,990,916,1334,1076,756,1300,395
89,89,90,35,844,25,1317,678,49,445,94,33,380,1105,865,1125,997,990,79,1295,877
