,indices,names,party
173,173,Scott McInnis,Republican
174,174,Wayne Allard,Republican
175,175,Joel Hefley,Republican
176,176,Daniel Schaefer,Republican
177,177,Barbara B. Kennelly,Democratic
178,178,Sam Gejdenson,Democratic
179,179,Rosa DeLauro,Democratic
180,180,Chris Shays,Republican
181,181,Gary Franks,Republican
182,182,Nancy Johnson,Republican
183,183,Mike Castle,Republican
184,184,Joe Scarborough,Independent (2017–present)
185,185,Pete Peterson,Democratic
186,186,Corrine Brown,Democratic
187,187,Tillie Fowler,Republican
188,188,Karen Thurman,Democratic
189,189,Cliff Stearns,Republican
190,190,John Mica,Republican
191,191,Bill McCollum,Republican
192,192,Michael Bilirakis,Republican
193,193,Bill Young,Republican
194,194,Sam Gibbons,Democratic
195,195,Charles T. Canady,Republican (1989–present)
196,196,Dan Miller (Florida politician),Republican
197,197,Porter Goss,Republican
198,198,Dave Weldon,Republican
199,199,Mark Foley,Republican
200,200,Carrie Meek,Democratic
201,201,Ileana Ros-Lehtinen,Republican
202,202,Harry Johnston (American politician),Democratic
203,203,Peter Deutsch,Democratic
204,204,Lincoln Díaz-Balart,Republican
205,205,Clay Shaw (politician),Republican
206,206,Alcee Hastings,Democratic
207,207,Jack Kingston,Republican
208,208,Sanford Bishop,Democratic
209,209,Mac Collins,Democratic (Before 1980)Republican (1980–2018)
210,210,John Linder,Republican
211,211,John Lewis,Democratic
212,212,Newt Gingrich,Republican
213,213,Bob Barr,"Republican (1970-2004, 2011–present)"
214,214,Saxby Chambliss,Republican
215,215,Nathan Deal,Republican (1995–present)
216,216,Charlie Norwood,Republican
217,217,Cynthia McKinney,NA
218,218,Neil Abercrombie,Democratic
219,219,Patsy Mink,Democratic
220,220,Helen Chenoweth-Hage,Republican
221,221,Mike Crapo,Republican
222,222,Bobby Rush,Democratic
223,223,Mel Reynolds,Democratic
224,224,Jesse Jackson Jr.,Democratic
225,225,Bill Lipinski,Democratic
226,226,Luis Gutiérrez,Democratic
227,227,Michael Patrick Flanagan,Republican
228,228,Henry Hyde,Democratic (before 1952)Republican (1952–2007)
229,229,Cardiss Collins,Democratic
230,230,Phil Crane,Republican
231,231,Sidney R. Yates,Democratic
232,232,John Porter (Illinois politician),Republican
233,233,Jerry Weller,Republican
234,234,Jerry Costello,Democratic
235,235,Harris W. Fawell,Republican
236,236,Dennis Hastert,Republican
237,237,Thomas W. Ewing,Republican
238,238,Don Manzullo,Republican
239,239,Lane Evans,Democratic
240,240,Ray LaHood,Republican
241,241,Glenn Poshard,Democratic
242,242,Dick Durbin,Democratic
243,243,Pete Visclosky,Democratic
244,244,David M. McIntosh,Republican
245,245,Tim Roemer,Democratic
246,246,Mark Souder,Republican
247,247,Steve Buyer,Republican
248,248,Dan Burton,Republican
249,249,John T. Myers (congressman),Republican
250,250,John Hostettler,Republican
251,251,Lee H. Hamilton,Democratic
252,252,Andrew Jacobs Jr.,Democratic
253,253,Jim Leach,Republican
254,254,Jim Nussle,Independent (2021–present)Republican (before 2021)
255,255,Jim Ross Lightfoot,Republican
256,256,Greg Ganske,Republican
257,257,Tom Latham (politician),Republican
258,258,Pat Roberts,Republican
259,259,Jim Ryun,Republican
260,260,Jan Meyers,Republican
261,261,Todd Tiahrt,Republican
262,262,Ed Whitfield,Republican (1994–present)
263,263,Ron Lewis,Republican
264,264,Mike Ward (American politician),Democratic
265,265,Jim Bunning,Republican
266,266,Hal Rogers,Republican
267,267,Scotty Baesler,Democratic
268,268,Bob Livingston,Republican
269,269,William J. Jefferson,Democratic
270,270,Cleo Fields,Democratic
271,271,Jim McCrery,Democratic (Before 1988)Republican (1988–present)
272,272,Richard Baker (American politician),Democratic (1972-86)  Republican (1986-present)
273,273,James B. Longley Jr.,Republican
274,274,John Baldacci,Democratic
275,275,Wayne Gilchrest,Republican (before 2019)Democratic (2019–present)[1]
276,276,Bob Ehrlich,Republican
277,277,Ben Cardin,Democratic
278,278,Albert Wynn,Democratic
279,279,Steny Hoyer,Democratic
280,280,Roscoe Bartlett,Republican
281,281,Kweisi Mfume,Democratic
282,282,Elijah Cummings,Democratic
283,283,Connie Morella,Republican
284,284,John Olver,Democratic
285,285,Richard Neal,Democratic
286,286,Peter I. Blute,Republican
287,287,Barney Frank,Democratic
288,288,Marty Meehan,Democratic
289,289,Peter G. Torkildsen,Republican
290,290,Ed Markey,Democratic
291,291,Joseph P. Kennedy II,Democratic
292,292,Joe Moakley,Democratic
293,293,Gerry Studds,Democratic
294,294,Bart Stupak,Democratic
295,295,Pete Hoekstra,Republican
296,296,Vern Ehlers,Republican
297,297,Dave Camp,Republican
298,298,James A. Barcia,Democratic
299,299,Fred Upton,Republican
300,300,Nick Smith (American politician),Republican
301,301,Dick Chrysler,Republican
302,302,Dale Kildee,Democratic
303,303,David Bonior,Democratic
304,304,Joe Knollenberg,Republican
305,305,Sander Levin,Democratic
306,306,Lynn N. Rivers,Democratic
307,307,John Conyers,Democratic
308,308,Barbara-Rose Collins,Democratic
309,309,John Dingell,Democratic
310,310,Gil Gutknecht,Republican
311,311,Jim Ramstad,Republican
312,312,Roger Wicker,Republican
313,313,Bennie Thompson,Democratic
314,314,Sonny Montgomery,Democratic
315,315,Gene Taylor (Mississippi politician),Democratic (Before 2014)Republican (2014–present)
316,316,Bill Clay,Democratic
317,317,Jim Talent,Republican
318,318,Dick Gephardt,Democratic
319,319,Ike Skelton,Democratic
320,320,Karen McCarthy,Democratic
321,321,Pat Danner,Democratic
322,322,Mel Hancock,Republican
323,323,Bill Emerson,Republican
324,324,Jo Ann Emerson,Republican (Until 1996; 1997–present)
325,325,Harold Volkmer,Democratic
326,326,Pat Williams (Montana politician),Democratic
327,327,Doug Bereuter,Republican
328,328,Jon Lynn Christensen,Republican
329,329,Bill Barrett,Republican
330,330,John Ensign,Republican
331,331,Barbara Vucanovich,Republican
332,332,Bill Zeliff,Republican
333,333,Charles Bass,Republican
334,334,Rob Andrews,Democratic
335,335,Frank LoBiondo,Republican
336,336,Jim Saxton,Republican
337,337,Chris Smith (New Jersey politician),Republican (1978–present)
338,338,Marge Roukema,Republican
339,339,Frank Pallone,Democratic
340,340,Bob Franks,Republican
341,341,William J. Martini,Republican
342,342,Robert Torricelli,Democratic
343,343,Donald M. Payne,Democratic
344,344,Rodney Frelinghuysen,Republican
345,345,Dick Zimmer,Republican
346,346,Bob Menendez,Democratic
347,347,Steven Schiff,Republican
348,348,Joe Skeen,Republican
349,349,Bill Richardson,Democratic
350,350,Michael Forbes,Democratic (1999-present)
351,351,Rick Lazio,Republican
352,352,Peter T. King,Republican
353,353,Dan Frisa,Republican
354,354,Gary Ackerman,Democratic
355,355,Floyd Flake,Democratic
356,356,Thomas J. Manton,Democratic
357,357,Jerry Nadler,Democratic
358,358,Chuck Schumer,Democratic
359,359,Edolphus Towns,Democratic
360,360,Major Owens,Democratic
361,361,Nydia Velázquez,Democratic
362,362,Susan Molinari,Republican
363,363,Carolyn Maloney,Democratic
364,364,Charles Rangel,Democratic
365,365,José E. Serrano,Democratic
366,366,Eliot Engel,Democratic
367,367,Nita Lowey,Democratic
368,368,Sue W. Kelly,Republican
369,369,Benjamin Gilman,Republican
370,370,Michael R. McNulty,Democratic
371,371,Gerald Solomon,Republican (1968–2001)
372,372,Sherwood Boehlert,Republican
373,373,John M. McHugh,Republican
374,374,James T. Walsh,Republican
375,375,Maurice Hinchey,Democratic
376,376,Bill Paxon,Republican
377,377,Louise Slaughter,Democratic
378,378,John LaFalce,Democratic
379,379,Jack Quinn (politician),Republican[1]
380,380,Amo Houghton,Republican
381,381,Eva Clayton,Democratic
382,382,David Funderburk,Republican
383,383,Walter B. Jones Jr.,Republican (after 1994)
384,384,Fred Heineman,Republican
385,385,Richard Burr,Republican
386,386,Howard Coble,Republican
387,387,Charlie Rose (politician),Democratic
388,388,Bill Hefner,Democratic
389,389,Sue Myrick,Republican
390,390,Cass Ballenger,Republican
391,391,Charles H. Taylor,Republican
392,392,Mel Watt,Democratic
393,393,Earl Pomeroy,Democratic
394,394,Steve Chabot,Republican
395,395,Rob Portman,Republican
396,396,Tony P. Hall,Democratic
397,397,Mike Oxley,Republican
398,398,Paul Gillmor,Republican
399,399,Frank Cremeans,Republican
400,400,Dave Hobson,Republican
401,401,John Boehner,Republican
402,402,Marcy Kaptur,Democratic
403,403,Martin Hoke,Republican
404,404,Louis Stokes,Democratic
405,405,John Kasich,Republican
406,406,Sherrod Brown,Democratic
407,407,Thomas C. Sawyer,Democratic
408,408,Deborah Pryce,Republican
409,409,Ralph Regula,Republican
410,410,James Traficant,Democratic (1981–2002)Independent (2002–2014)
411,411,Bob Ney,Republican
412,412,Steve LaTourette,Republican
413,413,Steve Largent,Republican
414,414,Tom Coburn,Republican
415,415,William K. Brewster,Democratic
416,416,J. C. Watts,Republican
417,417,Ernest Istook,Republican
418,418,Frank Lucas (Oklahoma politician),Republican
419,419,Elizabeth Furse,Democratic
420,420,Wes Cooley (politician),Republican
421,421,Earl Blumenauer,Democratic
422,422,Peter DeFazio,Democratic
423,423,Thomas M. Foglietta,Democratic
424,424,Chaka Fattah,Democratic
425,425,Robert A. Borski Jr.,Democratic
426,426,Ron Klink,Democratic
427,427,William F. Clinger Jr.,Republican
428,428,Tim Holden,Democratic
429,429,Curt Weldon,Republican
430,430,James C. Greenwood,Republican
431,431,Bud Shuster,Republican
432,432,Joseph M. McDade,Republican
433,433,Paul Kanjorski,Democratic
434,434,John Murtha,Democratic
435,435,Jon D. Fox,Republican
436,436,William J. Coyne,Democratic
437,437,Paul McHale,Democratic
438,438,Robert Smith Walker,Republican
439,439,George Gekas,Republican
440,440,Mike Doyle (American politician),Democratic
441,441,William F. Goodling,Republican
442,442,Frank Mascara,Democratic
443,443,Phil English,Republican
444,444,Patrick J. Kennedy,Democratic
445,445,Jack Reed (Rhode Island politician),Democratic
446,446,Mark Sanford,Republican
447,447,Floyd Spence,Democratic (c. 1946–1962) Republican (1962–2001)
448,448,Lindsey Graham,Republican
449,449,Bob Inglis,Republican
450,450,John Spratt,Democratic
451,451,Jim Clyburn,Democratic
452,452,Tim Johnson (South Dakota politician),Democratic
453,453,Jimmy Quillen,Republican
454,454,Jimmy Duncan (politician),Republican
455,455,Zach Wamp,Republican
456,456,Van Hilleary,Republican
457,457,Bob Clement,Democratic
458,458,Bart Gordon,Democratic
459,459,Ed Bryant,Republican
460,460,John S. Tanner,Democratic
461,461,Harold Ford Sr.,Democratic
462,462,Jim Chapman (congressman),Democratic
463,463,Charlie Wilson (Texas politician),Democratic
464,464,Sam Johnson,Republican
465,465,Ralph Hall,Democratic (before 2004)Republican (after 2004)
466,466,John Wiley Bryant,Democratic
467,467,Joe Barton,Republican
468,468,Bill Archer,Republican (after 1967)[1]
469,469,Jack Fields,Republican
470,470,Steve Stockman,Republican
471,471,Lloyd Doggett,Democratic
472,472,Chet Edwards,Democratic
473,473,Pete Geren,Democratic
474,474,Mac Thornberry,Republican
475,475,Kika de la Garza,Democratic
476,476,Ronald D. Coleman,Democratic
477,477,Charles Stenholm,Democratic
478,478,Sheila Jackson Lee,Democratic
479,479,Larry Combest,Republican
480,480,Henry B. González,Democratic
481,481,Lamar Smith,Republican
482,482,Tom DeLay,Republican
483,483,Henry Bonilla,Republican
484,484,Martin Frost,Democratic
485,485,Ken Bentsen Jr.,Democratic
486,486,Dick Armey,Republican
487,487,Solomon P. Ortiz,Democratic
488,488,Frank Tejeda,Democratic
489,489,Gene Green,Democratic
490,490,Eddie Bernice Johnson,Democratic
491,491,James V. Hansen,Republican
492,492,Enid Greene Mickelsen,Republican
493,493,Bill Orton,Democratic
494,494,Herbert H. Bateman,Republican (after 1976)
495,495,Owen B. Pickett,Democratic
496,496,Bobby Scott (politician),Democratic
497,497,Norman Sisisky,Democratic
498,498,Lewis F. Payne Jr.,Democratic
499,499,Bob Goodlatte,Republican
500,500,Thomas J. Bliley Jr.,Republican (after 1980)
501,501,Jim Moran,Democratic
502,502,Rick Boucher,Democratic
503,503,Frank Wolf (politician),Republican
504,504,Tom Davis (Virginia politician),Republican
505,505,Rick White (politician),Republican
506,506,Jack Metcalf (politician),Republican
507,507,Linda Smith (American politician),Republican
508,508,Doc Hastings,Republican
509,509,George Nethercutt,Republican
510,510,Norm Dicks,Democratic
511,511,Jim McDermott,Democratic
512,512,Jennifer Dunn,Republican
513,513,Randy Tate,Republican
514,514,Alan Mollohan,Democratic
515,515,Bob Wise,Democratic
516,516,Nick Rahall,Democratic
517,517,Mark Neumann,Republican
518,518,Scott L. Klug,Republican
519,519,Steve Gunderson,Republican
520,520,Jerry Kleczka,Democratic
521,521,Tom Barrett (Wisconsin politician),Democratic
522,522,Tom Petri,Republican
523,523,Dave Obey,Democratic
524,524,Toby Roth,Republican
525,525,Jim Sensenbrenner,Republican
526,526,Barbara Cubin,Republican
527,527,Eni Faleomavaega,Democratic
528,528,Eleanor Holmes Norton,Democratic
529,529,Robert A. Underwood,Democratic
530,530,Victor O. Frazer,Democratic (Before 1992)Independent Citizens Movement (1992–present)
531,531,Carlos Romero Barceló,Republican Statehood (Before 1967)New Progressive (1967–2021)
532,532,Jeff Sessions,Republican
533,533,Ben Nighthorse Campbell,Democratic (before 1995)Republican (1995–present)
534,534,Max Cleland,Democratic
535,535,Mary Landrieu,Democratic
536,536,Susan Collins,Republican
537,537,Chuck Hagel,Republican
538,538,Gordon H. Smith,Republican
539,539,Mike Enzi,Republican
540,540,Bob Riley,Republican
